pilot_id,pilot_name,rank_date,rank
289,Jean-Marc Caron,2013-06-01,1
290,Alex Hofer,2002-12-01,1
298,Xevi Bonet Dalmau,2016-11-01,1
299,Torsten Siegel,2019-03-01,1
301,Bruce Goldsmith,2004-12-01,1
303,Andreas Malecki,2012-02-01,1
306,Frank Brown,2006-03-01,1
318,Stefan Wyss,2010-06-01,1
333,Helmut Eichholzer,2016-01-01,1
347,Russell Ogden,2021-06-01,1
366,Tomas Brauner,2009-08-01,1
370,Norman Lausch,2004-03-01,1
372,Jurij Vidic,2019-06-01,1
386,Charles Cazaux,2010-11-01,1
406,Stephan Morgenthaler,2012-10-01,1
583,Urban Valic,2008-08-01,1
617,Aljaz Valic,2011-01-01,1
1146,Scotty Marion,2003-12-01,1
1414,Christian Maurer,2007-12-01,1
1838,Nikolay Shorokhov,2005-03-01,1
2459,Martin Orlik,2006-07-01,1
3512,Gasper Prevc,2008-10-01,1
5428,Ulrich Prinz,2015-10-01,1
8887,Aaron Durogati,2018-01-01,1
10283,Julien Wirtz,2016-08-01,1
11268,Luc Armant,2022-10-01,1
16559,Honorin Hamard,2025-08-01,1
19850,Maxime Pinot,2024-02-01,1
40219,Baptiste Lambert,2025-10-01,1
37,Yann Martail,2012-08-01,2
84,Jeremie Lager,2014-03-01,2
332,Jimmy Pacher,2004-09-01,2
378,Christian Biasi,2017-01-01,2
462,Stephane Drouin,2011-08-01,2
3437,Biagio Alberto Vitale,2010-06-01,2
4185,Andy Aebi,2008-03-01,2
8580,Félix Rodriguez,2014-08-01,2
10389,Juan Sebastian Ospina Restrepo,2025-08-01,2
12673,Tilen Ceglar,2021-06-01,2
311,Alexander Schalber,2013-06-01,3
316,Olivier Rössel,2002-12-01,3
967,Robert Bernat,2006-07-01,3
1059,Karel Vrbensky,2006-09-01,3
1803,Max Jeanpierre,2006-05-01,3
2046,Joachim Oberhauser,2017-01-01,3
2330,Paul Schmit,2006-03-01,3
3237,David Ohlidal,2007-07-01,3
4513,Paolo Zammarchi,2007-03-01,3
294,Jinoh Kim,2006-05-01,4
296,Achim Joos,2003-12-01,4
380,Mark Watts,2003-12-01,4
398,Peter Neuenschwander,2012-04-01,4
428,Marcin Tobiszewski,2004-09-01,4
692,Primoz Podobnik,2008-08-01,4
2652,Joel Debons,2014-02-01,4
3339,Jacques Fournier,2013-07-01,4
8384,Martin Jovanoski,2025-10-01,4
19463,Ferdinand Vogel,2020-12-01,4
25974,Philipp Haag,2024-03-01,4
312,Steve Ham,2004-09-01,5
356,Luca Donini,2005-06-01,5
468,Andrew Horchner,2004-06-01,5
552,Denis Cortella,2007-09-01,5
794,Frantisek Pavlousek,2007-03-01,5
1878,Ernesto Hinestroza,2018-06-01,5
3399,Borja Rodriguez Muhlach,2005-09-01,5
9291,Alexandre Jofresa,2016-06-01,5
9355,Michal Gierlach,2025-02-01,5
12009,Lucas Bernardin,2014-05-01,5
12672,Dusan Oroz,2018-01-01,5
13342,Pierre Remy,2024-03-01,5
17957,Daniel Tyrkas,2025-09-01,5
17988,Clement Latour,2015-01-01,5
49334,Simon Mettetal,2022-11-01,5
293,Patrick Berod,2006-03-01,6
344,Toni Caniglia,2005-09-01,6
985,Thomas Brandlehner,2008-10-01,6
1284,Adrian Thomas,2006-03-01,6
5241,Yassen Savov,2010-06-01,6
9089,Stefan Schmoker,2009-02-01,6
13186,Francisco Javier Reina Lagos,2015-07-01,6
22200,Stephane Poulain,2019-04-01,6
74656,Andrei Gaia,2025-10-01,6
3357,Olivier Michielsen,2012-09-01,7
3805,Jamie Messenger,2010-12-01,7
16688,Jonathan Marin,2024-02-01,7
30161,Denis Soverini,2023-05-01,7
46323,Meryl Delferriere,2019-04-01,7
56477,Darko Stankovski,2025-10-01,7
291,Steve Cox,2002-12-01,8
402,Gregory Blondeau,2010-09-01,8
627,Radek Vecera,2004-09-01,8
670,Raul Penso Hernandez,2011-08-01,8
1329,Ayumu Miyata,2007-09-01,8
4289,Maxime Bellemin,2014-03-01,8
4443,Michael Sigel,2018-06-01,8
16917,Yoshiki Kuremoto,2012-08-01,8
